The input matrix is : 

0.2           -5.0           3.0           0.4           0.0

-0.5           1.0           7.0           -2.0           0.3

0.6           2.0           -4.0           3.0           0.1

3.0           0.8           2.0           -0.4           3.0

0.5           3.0           2.0           0.4           1.0



The inverse matrix is :

-0.708           2.531           2.431           0.967           -3.902         


-0.193           0.31           0.279           0.058           -0.294          


0.022           0.365           0.286           0.051           -0.29

0.273           -0.13           0.132           -0.141           0.449          


0.782           -2.875           -2.679           -0.701           4.234
